line,country_id,length,max_speed,cost,success
Shanghai maglev train,CHN,30.5,431,1200,0
Beiging-Shanghai,CHN,1318,350,34700,1
Beijing–Guangzhou,CHN,2230,350,42350,1
Hangzhou–Fuzhou–Shenzhen,CHN,1495,350,13312,1
Huhanrong PDL,CHN,2078,350,30400,1
Shanghai–Kunming,CHN,2066,350,46000,1
Guangzhou–Kunming,CHN,1285,350,20200,0
Suifenhe–Manzhouli,CHN,714,250,7272,1
Qingdao–Yinchuan,CHN,1762,350,20675,1
Beijing–Lanzhou,CHN,1526,350,27390,1
Beijing–Harbin,CHN,1700,350,35000,0
Eurasia Continental Bridge,CHN,3422,350,57000,1
Whoosh high-speed railway,IDN,142.8,350,7300,1
Tokaido Shinkansen,JPN,515.4,285,2604,1
San'yō Shinkansen,JPN,553.7,300,16249,1
Tōhoku Shinkansen,JPN,674.9,320,12838,1
Jōetsu Shinkansen,JPN,269.5,275,3289,0
Hokuriku Shinkansen,JPN,470.6,260,28000,1
Kyushu Shinkansen,JPN,256.8,260,15410,1
Nishi Kyushu Shinkansen,JPN,66,260,5700,0
Hokkaido Shinkansen,JPN,148.8,260,4670,0
Haramain HSR,SAU,435,300,16000,0
Gyeongbu HSR,KOR,417.4,305,17700,1
Jeolla Line,KOR,180.4,230,1430,1
Honam HSR,KOR,249.2,305,7000,0
Suseo–Pyeongtaek HSR,KOR,61.1,305,3200,1
Gyeonggang Line,KOR,120.2,250,2842,0
Jungbunaeryuk Line,KOR,92.7,230,775,0
Jungang Line,KOR,185.4,250,4800,0
Donghae Line,KOR,242.3,200,2500,0
Taiwan HSR,TWN,351,300,16500,0
Polatlı–Konya,TUR,212,250,330,1
Ankara–Istanbul,TUR,313,250,3300,1
Konya–Yenice railway,TUR,102,200,102.4,1
Ankara–Sivas,TUR,394,250,1300,0
Tashkent–Bukhara,UZB,600,250,667,0
Al Boraq,MAR,186,320,2400,0
Western Railway,AUT,243,230,12216,0
New Lower Inn Valley Railway,AUT,40.2,250,2602,1
HSL 1,BEL,88,300,1636,1
HSL 2+line 36N,BEL,94.8,300,2650,0
HSL 3,BEL,42,260,2085,0
HSL 4,BEL,36,300,1152,1
Øresund Line,DNK,16,200,3700,0
Copenhagen–Ringsted Line,DNK,60,200,1830,0
Kerava–Lahti railway,FIN,75.7,220,381,0
Rantarata,FIN,196,200,,
Helsinki–Riihimäki Railway,FIN,71.4,200,,
Riihimäki–Tampere railway,FIN,116,200,,
Tampere–Seinäjoki railway,FIN,156,200,,
Oulu Main Line,FIN,335,200,,
Savonia railway,FIN,45,200,,
Riihimäki–Saint Petersburg railway,FIN,120,200,,
Orléans–Montauban railway,FRA,70.399,200,,
Paris–Bordeaux railway,FRA,331.08,220,8989,1
LGV Sud-Est,FRA,409,300,4033,1
LGV Atlantique,FRA,284,300,8182,0
Mantes-la-Jolie–Cherbourg railway,FRA,85.267,200,,
Paris–Brest railway,FRA,47.8,220,,
Strasbourg–Basel railway,FRA,141.3,220,,
Le Mans–Angers railway,FRA,73.8,220,,
