infra_id,country_id,year,rail lines (total route-km),hsr_network_length
I1,MAR,2021,2295,186
I2,CHN,2021,"109,767",48000
I3,JPN,2011,"20,087",2951
I4,KOR,2021,4309,887
I5,AUT,2021,4962,352
I6,BEL,2021,3612,314
I7,DNK,2009,2131,2633
I8,FIN,2021,5918,5926
I9,FRA,2021,27716,2734
I10,DEU,2021,"33,401",1658
I11,ITA,2021,"17,305",1467
I12,POL,2021,"18,620",2500
I13,SRB,2021,"3,348",182
I14,ESP,2021,"15,963",3973
I15,SWE,2021,"9,714",1076
I16,CHE,2021,"4,122",178
I17,NLD,2021,"3,041",175
I18,GBR,2021,"16,179",1715
I19,SAU,2018,"2,939",450
I20,TUR,2021,"10,546",5472
I21,USA,2021,"148,553",735
