line,country_id,length,max_speed,cost,success,country,income_level,region,gdp_growth,gdp_total,gdp_pc,rail_km,pop_thousands,pop_density,urban_rate
Shanghai maglev train,CHN,30.5,431,1200.0,0.0,China,Upper middle income,East Asia & Pacific,5.249557864,17800.0,12614.06174,109767.0,1410710.0,150.4200481,64.57
Beiging-Shanghai,CHN,1318.0,350,34700.0,1.0,China,Upper middle income,East Asia & Pacific,5.249557864,17800.0,12614.06174,109767.0,1410710.0,150.4200481,64.57
Beijing–Guangzhou,CHN,2230.0,350,42350.0,1.0,China,Upper middle income,East Asia & Pacific,5.249557864,17800.0,12614.06174,109767.0,1410710.0,150.4200481,64.57
Hangzhou–Fuzhou–Shenzhen,CHN,1495.0,350,13312.0,1.0,China,Upper middle income,East Asia & Pacific,5.249557864,17800.0,12614.06174,109767.0,1410710.0,150.4200481,64.57
Huhanrong PDL,CHN,2078.0,350,30400.0,1.0,China,Upper middle income,East Asia & Pacific,5.249557864,17800.0,12614.06174,109767.0,1410710.0,150.4200481,64.57
Shanghai–Kunming,CHN,2066.0,350,46000.0,1.0,China,Upper middle income,East Asia & Pacific,5.249557864,17800.0,12614.06174,109767.0,1410710.0,150.4200481,64.57
Guangzhou–Kunming,CHN,1285.0,350,20200.0,0.0,China,Upper middle income,East Asia & Pacific,5.249557864,17800.0,12614.06174,109767.0,1410710.0,150.4200481,64.57
Suifenhe–Manzhouli,CHN,714.0,250,7272.0,1.0,China,Upper middle income,East Asia & Pacific,5.249557864,17800.0,12614.06174,109767.0,1410710.0,150.4200481,64.57
Qingdao–Yinchuan,CHN,1762.0,350,20675.0,1.0,China,Upper middle income,East Asia & Pacific,5.249557864,17800.0,12614.06174,109767.0,1410710.0,150.4200481,64.57
Beijing–Lanzhou,CHN,1526.0,350,27390.0,1.0,China,Upper middle income,East Asia & Pacific,5.249557864,17800.0,12614.06174,109767.0,1410710.0,150.4200481,64.57
Beijing–Harbin,CHN,1700.0,350,35000.0,0.0,China,Upper middle income,East Asia & Pacific,5.249557864,17800.0,12614.06174,109767.0,1410710.0,150.4200481,64.57
Eurasia Continental Bridge,CHN,3422.0,350,57000.0,1.0,China,Upper middle income,East Asia & Pacific,5.249557864,17800.0,12614.06174,109767.0,1410710.0,150.4200481,64.57
Whoosh high-speed railway,IDN,142.8,350,7300.0,1.0,Indonesia,Upper middle income,East Asia & Pacific,5.048105771,1370.0,4876.314327,5483.0,281190.067,147.3301752,58.572
Tokaido Shinkansen,JPN,515.4,285,2604.0,1.0,Japan,High income,East Asia & Pacific,1.679019523,4200.0,33766.52683,20087.4,124516.65,343.2784335,92.043
San'yō Shinkansen,JPN,553.7,300,16249.0,1.0,Japan,High income,East Asia & Pacific,1.679019523,4200.0,33766.52683,20087.4,124516.65,343.2784335,92.043
Tōhoku Shinkansen,JPN,674.9,320,12838.0,1.0,Japan,High income,East Asia & Pacific,1.679019523,4200.0,33766.52683,20087.4,124516.65,343.2784335,92.043
Jōetsu Shinkansen,JPN,269.5,275,3289.0,0.0,Japan,High income,East Asia & Pacific,1.679019523,4200.0,33766.52683,20087.4,124516.65,343.2784335,92.043
